Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
MSL,TranAD,13,0.4532418,0.3805206,1.2531346
MSL,Transformer,1,0.7363005,0.552505,2.3106871
MSL,Transformer,2,0.60023,0.5325089,2.2854211
MSL,Transformer,3,0.5850481,0.5199647,2.2703183
MSL,Transformer,4,0.5754775,0.513178,2.2615881
MSL,Transformer,5,0.5700185,0.5094572,2.2569838
MSL,Transformer,6,0.567092,0.5063743,2.2545695
MSL,Transformer,7,0.5654827,0.5046474,2.2533081
MSL,Transformer,8,0.564624,0.5038933,2.2526488
MSL,Transformer,9,0.5641567,0.5025446,2.252306
MSL,Transformer,10,0.5640031,0.5032319,2.2521272
MSL,Transformer,11,0.5639025,0.5034606,2.2520354
MSL,Transformer,12,0.5637567,0.5032619,2.2519884
MSL,ModernTCN,1,0.5090156,0.3428249,1.2515979
MSL,ModernTCN,2,0.3375709,0.2292658,1.0826584
MSL,ModernTCN,3,0.25847,0.2035051,1.0302294
MSL,ModernTCN,4,0.2356369,0.194372,1.0151051
MSL,ModernTCN,5,0.2265641,0.1903057,1.0036246
MSL,ModernTCN,6,0.2226002,0.1888863,0.9998156
MSL,ModernTCN,7,0.2206493,0.1880127,0.9977698
MSL,ModernTCN,8,0.2198277,0.1872864,0.995949
MSL,ModernTCN,9,0.219501,0.1873653,0.995061
MSL,ModernTCN,10,0.2190767,0.1867457,0.9966655
MSL,ModernTCN,11,0.2189914,0.1865801,0.9973122
MSL,ModernTCN,12,0.2189378,0.1864962,0.9955826
MSL,ModernTCN,13,0.2188066,0.1871897,0.9943238
MSL,ModernTCN,14,0.2187541,0.1867487,0.995665
MSL,ModernTCN,15,0.2188297,0.1871666,0.9951879
MSL,CATCH,1,0.6086553,0.5532743,2.5372839
MSL,CATCH,2,0.5977707,0.5445555,2.4096897
MSL,CATCH,3,0.5921214,0.5392177,2.3604615
MSL,CATCH,4,0.5894968,0.5374228,2.3368292
MSL,CATCH,5,0.5881589,0.5373123,2.3250885
MSL,CATCH,6,0.5874863,0.5353521,2.3194656
MSL,CATCH,7,0.5870725,0.533559,2.3164072
MSL,CATCH,8,0.586941,0.5350013,2.3148551
MSL,CATCH,9,0.5868428,0.5362334,2.313998
MSL,CATCH,10,0.5867869,0.534673,2.3136091
MSL,StreamDaD,1,0.6477163,0.4805045,1.4559293
MSL,StreamDaD,2,0.4993892,0.3858199,1.2145344
MSL,StreamDaD,3,0.4349568,0.341941,1.1250354
MSL,StreamDaD,4,0.4056289,0.318824,1.0838037
MSL,StreamDaD,5,0.3911502,0.3079632,1.0647742
MSL,StreamDaD,6,0.3842459,0.3023884,1.0554091
MSL,StreamDaD,7,0.3806385,0.2998527,1.0507183
MSL,StreamDaD,8,0.3789583,0.2979177,1.0483432
MSL,StreamDaD,9,0.3780198,0.2969469,1.0471245
MSL,StreamDaD,10,0.3773403,0.2976896,1.0465164
MSL,StreamDaD,11,0.3772128,0.2972747,1.0462019
MSL,StreamDaD,12,0.3772495,0.2972533,1.0460451
