Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
SMAP,TimesNet,18,0.2248315,0.0860961,0.3931299
SMAP,TranAD,1,0.8380709,0.3429154,0.7312552
SMAP,TranAD,2,0.6435803,0.2541878,0.59092
SMAP,TranAD,3,0.5385638,0.2222501,0.5431092
SMAP,TranAD,4,0.4967946,0.2077135,0.5219706
SMAP,TranAD,5,0.4757251,0.2009645,0.5117816
SMAP,TranAD,6,0.4652903,0.1973052,0.5070109
SMAP,TranAD,7,0.4605492,0.1956381,0.5045125
SMAP,TranAD,8,0.4584822,0.1948431,0.5032991
SMAP,TranAD,9,0.4569227,0.1942732,0.502656
SMAP,TranAD,10,0.4561663,0.1943329,0.5023414
SMAP,TranAD,11,0.455881,0.1939843,0.5021801
SMAP,TranAD,12,0.4557799,0.1940365,0.5020934
SMAP,TranAD,13,0.4558911,0.1944302,0.5020536
SMAP,TranAD,14,0.4557691,0.1940462,0.502031
SMAP,Transformer,1,0.9131034,0.3463697,0.7704991
SMAP,Transformer,2,0.7103289,0.266912,0.6861326
SMAP,Transformer,3,0.6336651,0.2408486,0.6585125
SMAP,Transformer,4,0.6045349,0.2288378,0.6463224
SMAP,Transformer,5,0.5907483,0.2229063,0.6401895
SMAP,Transformer,6,0.5836022,0.2201164,0.6370407
SMAP,Transformer,7,0.5801554,0.2186449,0.6354526
SMAP,Transformer,8,0.5782636,0.2179563,0.6346412
SMAP,Transformer,9,0.577307,0.2170525,0.6342393
SMAP,Transformer,10,0.5769411,0.2170587,0.6340399
SMAP,Transformer,11,0.5768641,0.216682,0.6339361
SMAP,Transformer,12,0.5764297,0.2167086,0.633885
SMAP,Transformer,13,0.5764571,0.2170833,0.6338613
SMAP,Transformer,14,0.5766582,0.2169394,0.6338488
SMAP,ModernTCN,1,0.5604574,0.1548551,0.5677373
SMAP,ModernTCN,2,0.2935776,0.1164431,0.5652289
SMAP,ModernTCN,3,0.2355498,0.1070168,0.5592602
SMAP,ModernTCN,4,0.218417,0.1032355,0.5482488
SMAP,ModernTCN,5,0.2113224,0.101566,0.5455987
SMAP,ModernTCN,6,0.2077137,0.1007708,0.5452388
SMAP,ModernTCN,7,0.2060243,0.1001901,0.545406
SMAP,ModernTCN,8,0.2051573,0.1000895,0.5421243
SMAP,ModernTCN,9,0.2048029,0.1001154,0.5428123
SMAP,ModernTCN,10,0.2047274,0.0999361,0.5433618
SMAP,ModernTCN,11,0.2042715,0.0998734,0.5446376
SMAP,ModernTCN,12,0.204294,0.0996863,0.5444044
SMAP,ModernTCN,13,0.2043076,0.0999842,0.5444293
SMAP,ModernTCN,14,0.2044036,0.0999781,0.5429227
SMAP,ModernTCN,15,0.2043208,0.0995807,0.5451185
SMAP,ModernTCN,16,0.2044639,0.0995163,0.5481368
SMAP,ModernTCN,17,0.2045359,0.1000365,0.543852
SMAP,ModernTCN,18,0.2042706,0.0998816,0.5444024
SMAP,ModernTCN,19,0.2043306,0.0997458,0.5452845
SMAP,CATCH,1,0.9029554,0.3505777,0.6940992
SMAP,CATCH,2,0.5358307,0.1644547,0.3655764
SMAP,CATCH,3,0.350623,0.1256686,0.2874652
SMAP,CATCH,4,0.3042259,0.1134185,0.2622671
SMAP,CATCH,5,0.2864956,0.1082308,0.2514818
SMAP,CATCH,6,0.2779772,0.1059782,0.2470091
SMAP,CATCH,7,0.2754254,0.1048726,0.2448299
SMAP,CATCH,8,0.2739262,0.1042408,0.2435465
SMAP,CATCH,9,0.2729946,0.1039848,0.2429332
SMAP,CATCH,10,0.2723001,0.103926,0.2426251
SMAP,CATCH,11,0.2715912,0.1038282,0.2425041
SMAP,CATCH,12,0.2723225,0.1037364,0.2424449
SMAP,CATCH,13,0.2721815,0.1037832,0.2423912
SMAP,CATCH,14,0.2716129,0.1037227,0.2423809
SMAP,CATCH,15,0.2714494,0.1038029,0.242387
SMAP,CATCH,16,0.2715909,0.1037674,0.2423663
SMAP,CATCH,17,0.2717295,0.1037511,0.2423881
SMAP,StreamDaD,1,0.8503869,0.2910842,0.650377
SMAP,StreamDaD,2,0.525112,0.1684756,0.484602
