Dataset,Model,Epoch,Train Loss,Validation Loss,Test Loss
SWAT,TimesNet,17,0.0045665,0.0030974,0.0101377
SWAT,TimesNet,18,0.0045664,0.0030982,0.0101377
SWAT,TimesNet,19,0.0045683,0.0030974,0.0101377
SWAT,TimesNet,20,0.0045646,0.0030974,0.0101377
SWAT,TimesNet,21,0.0045673,0.0030977,0.0101377
SWAT,TimesNet,22,0.0045682,0.003098,0.0101377
SWAT,TranAD,1,0.0393573,0.013777,0.0294169
SWAT,TranAD,2,0.0133807,0.0074575,0.0204653
SWAT,TranAD,3,0.0095913,0.0060687,0.0181489
SWAT,TranAD,4,0.0085295,0.0055621,0.0173201
SWAT,TranAD,5,0.0080963,0.0053399,0.0170192
SWAT,TranAD,6,0.0079063,0.0052323,0.016851
SWAT,TranAD,7,0.0078169,0.0051821,0.0167655
SWAT,TranAD,8,0.0077694,0.0051585,0.0167232
SWAT,TranAD,9,0.0077472,0.0051471,0.0167081
SWAT,TranAD,10,0.0077371,0.0051418,0.0166986
SWAT,TranAD,11,0.0077287,0.0051382,0.0166944
SWAT,TranAD,12,0.0077298,0.0051388,0.0166917
SWAT,TranAD,13,0.0077237,0.0051377,0.0166903
SWAT,TranAD,14,0.0077252,0.0051362,0.0166898
SWAT,TranAD,15,0.0077235,0.0051351,0.0166897
SWAT,TranAD,16,0.0077259,0.0051356,0.0166897
SWAT,TranAD,17,0.007729,0.0051359,0.0166897
SWAT,TranAD,18,0.0077226,0.0051369,0.0166897
SWAT,Transformer,1,0.4557681,0.0754127,5.1314969
SWAT,Transformer,2,0.2000696,0.0332793,2.4911797
SWAT,Transformer,3,0.1061168,0.0269229,1.7994685
SWAT,Transformer,4,0.0787895,0.0251242,1.5957643
SWAT,Transformer,5,0.0694359,0.0244247,1.5273991
SWAT,Transformer,6,0.0658228,0.0241776,1.5009001
SWAT,Transformer,7,0.0642893,0.0240277,1.488798
SWAT,Transformer,8,0.0635742,0.0239643,1.4829147
SWAT,Transformer,9,0.0632553,0.0239337,1.4801217
SWAT,Transformer,10,0.0630775,0.0239239,1.4788326
SWAT,Transformer,11,0.0629897,0.0239132,1.4781064
SWAT,Transformer,12,0.06298,0.0239085,1.4778149
SWAT,Transformer,13,0.0629361,0.0239098,1.4777055
SWAT,Transformer,14,0.0629424,0.0239104,1.4776746
SWAT,Transformer,15,0.0629528,0.023909,1.4777011
