timestamp,memory_used,gpu_util,time_sec
2025-07-15 15:45:42.401,1.0,0.0,0.0
2025-07-15 15:45:47.478,1.0,0.0,5.077
2025-07-15 15:45:52.532,106.0,0.0,10.131
2025-07-15 15:45:57.580,242.0,20.0,15.179
2025-07-15 15:46:02.626,242.0,21.0,20.225
2025-07-15 15:46:07.672,242.0,31.0,25.271
2025-07-15 15:46:12.718,242.0,0.0,30.317
2025-07-15 15:46:17.764,242.0,20.0,35.363
2025-07-15 15:46:22.810,242.0,2.0,40.409
2025-07-15 15:46:27.856,242.0,22.0,45.455
2025-07-15 15:46:32.902,242.0,23.0,50.501
2025-07-15 15:46:37.949,242.0,19.0,55.548
2025-07-15 15:46:42.995,242.0,15.0,60.594
2025-07-15 15:46:48.041,242.0,22.0,65.64
2025-07-15 15:46:53.087,242.0,21.0,70.686
2025-07-15 15:46:58.137,242.0,18.0,75.736
2025-07-15 15:47:03.185,242.0,20.0,80.784
2025-07-15 15:47:08.231,242.0,22.0,85.83
2025-07-15 15:47:13.279,242.0,22.0,90.878
2025-07-15 15:47:18.324,242.0,23.0,95.923
2025-07-15 15:47:23.370,242.0,20.0,100.969
2025-07-15 15:47:28.416,242.0,14.0,106.015
2025-07-15 15:47:33.462,242.0,22.0,111.061
2025-07-15 15:47:38.508,242.0,21.0,116.107
2025-07-15 15:47:43.553,242.0,21.0,121.152
2025-07-15 15:47:48.601,242.0,20.0,126.2
2025-07-15 15:47:53.648,242.0,23.0,131.247
2025-07-15 15:47:58.694,242.0,20.0,136.293
2025-07-15 15:48:03.740,242.0,22.0,141.339
2025-07-15 15:48:08.787,242.0,20.0,146.386
2025-07-15 15:48:13.834,242.0,19.0,151.433
2025-07-15 15:48:18.881,242.0,0.0,156.48
2025-07-15 15:48:23.926,242.0,21.0,161.525
2025-07-15 15:48:28.973,242.0,0.0,166.572
2025-07-15 15:48:34.019,242.0,19.0,171.618
2025-07-15 15:48:39.066,242.0,5.0,176.665
2025-07-15 15:48:44.112,242.0,22.0,181.711
2025-07-15 15:48:49.157,242.0,22.0,186.756
2025-07-15 15:48:54.203,242.0,20.0,191.802
2025-07-15 15:48:59.249,242.0,19.0,196.848
2025-07-15 15:49:04.296,242.0,4.0,201.895
2025-07-15 15:49:09.344,242.0,21.0,206.943
2025-07-15 15:49:14.389,242.0,3.0,211.988
2025-07-15 15:49:19.436,242.0,20.0,217.035
2025-07-15 15:49:24.482,242.0,4.0,222.081
2025-07-15 15:49:29.527,242.0,21.0,227.126
2025-07-15 15:49:34.574,242.0,23.0,232.173
2025-07-15 15:49:39.624,242.0,20.0,237.223
2025-07-15 15:49:44.671,242.0,19.0,242.27
2025-07-15 15:49:49.718,242.0,0.0,247.317
2025-07-15 15:49:54.765,242.0,22.0,252.364
2025-07-15 15:49:59.811,242.0,0.0,257.41
2025-07-15 15:50:04.857,242.0,19.0,262.456
2025-07-15 15:50:09.905,242.0,5.0,267.504
2025-07-15 15:50:14.951,242.0,21.0,272.55
2025-07-15 15:50:19.996,242.0,21.0,277.595
2025-07-15 15:50:25.042,242.0,21.0,282.641
2025-07-15 15:50:30.089,242.0,20.0,287.688
2025-07-15 15:50:35.136,242.0,23.0,292.735
2025-07-15 15:50:40.181,242.0,22.0,297.78
2025-07-15 15:50:45.228,242.0,29.0,302.827
2025-07-15 15:50:50.275,242.0,20.0,307.874
2025-07-15 15:50:55.322,242.0,20.0,312.921
2025-07-15 15:51:00.368,242.0,20.0,317.967
2025-07-15 15:51:05.415,242.0,22.0,323.014
2025-07-15 15:51:10.461,242.0,17.0,328.06
2025-07-15 15:51:15.507,242.0,18.0,333.106
2025-07-15 15:51:20.554,242.0,16.0,338.153
2025-07-15 15:51:25.603,242.0,21.0,343.202
2025-07-15 15:51:30.650,242.0,22.0,348.249
2025-07-15 15:51:35.695,242.0,26.0,353.294
2025-07-15 15:51:40.742,326.0,23.0,358.341
2025-07-15 15:51:45.789,326.0,0.0,363.388
