timestamp,memory_used,gpu_util,time_sec
2025-07-21 13:00:05.929,1.0,0.0,0.0
2025-07-21 13:00:11.004,1.0,0.0,5.075
2025-07-21 13:00:16.056,106.0,1.0,10.127
2025-07-21 13:00:21.102,174.0,47.0,15.173
2025-07-21 13:00:26.146,174.0,54.0,20.217
2025-07-21 13:00:31.190,174.0,48.0,25.261
2025-07-21 13:00:36.234,174.0,33.0,30.305
2025-07-21 13:00:41.276,174.0,39.0,35.347
2025-07-21 13:00:46.320,174.0,39.0,40.391
2025-07-21 13:00:51.363,174.0,30.0,45.434
2025-07-21 13:00:56.406,176.0,50.0,50.477
2025-07-21 13:01:01.450,176.0,48.0,55.521
2025-07-21 13:01:06.495,176.0,49.0,60.566
2025-07-21 13:01:11.538,176.0,0.0,65.609
2025-07-21 13:01:16.582,176.0,31.0,70.653
2025-07-21 13:01:21.625,176.0,30.0,75.696
2025-07-21 13:01:26.668,176.0,31.0,80.739
2025-07-21 13:01:31.712,176.0,33.0,85.783
2025-07-21 13:01:36.755,176.0,48.0,90.826
2025-07-21 13:01:41.800,176.0,49.0,95.871
2025-07-21 13:01:46.845,176.0,50.0,100.916
2025-07-21 13:01:51.894,176.0,26.0,105.965
2025-07-21 13:01:56.938,176.0,29.0,111.009
2025-07-21 13:02:01.981,176.0,29.0,116.052
2025-07-21 13:02:07.024,176.0,29.0,121.095
2025-07-21 13:02:12.068,176.0,29.0,126.139
2025-07-21 13:02:17.110,176.0,0.0,131.181
2025-07-21 13:02:22.157,176.0,49.0,136.228
2025-07-21 13:02:27.200,176.0,48.0,141.271
2025-07-21 13:02:32.244,176.0,7.0,146.315
2025-07-21 13:02:37.288,176.0,29.0,151.359
2025-07-21 13:02:42.331,176.0,29.0,156.402
2025-07-21 13:02:47.378,176.0,30.0,161.449
2025-07-21 13:02:52.420,176.0,29.0,166.491
2025-07-21 13:02:57.464,176.0,34.0,171.535
2025-07-21 13:03:02.507,176.0,48.0,176.578
2025-07-21 13:03:07.554,176.0,49.0,181.625
2025-07-21 13:03:12.598,176.0,49.0,186.669
2025-07-21 13:03:17.642,176.0,7.0,191.713
2025-07-21 13:03:22.686,176.0,29.0,196.757
2025-07-21 13:03:27.730,176.0,30.0,201.801
2025-07-21 13:03:32.776,176.0,29.0,206.847
2025-07-21 13:03:37.819,176.0,30.0,211.89
2025-07-21 13:03:42.863,176.0,0.0,216.934
2025-07-21 13:03:47.907,176.0,50.0,221.978
2025-07-21 13:03:52.951,176.0,50.0,227.022
2025-07-21 13:03:57.996,176.0,0.0,232.067
2025-07-21 13:04:03.041,176.0,29.0,237.112
2025-07-21 13:04:08.084,176.0,29.0,242.155
2025-07-21 13:04:13.128,176.0,29.0,247.199
2025-07-21 13:04:18.171,176.0,29.0,252.242
2025-07-21 13:04:23.214,176.0,34.0,257.285
2025-07-21 13:04:28.258,176.0,48.0,262.329
2025-07-21 13:04:33.303,176.0,49.0,267.374
2025-07-21 13:04:38.346,176.0,49.0,272.417
2025-07-21 13:04:43.390,176.0,9.0,277.461
2025-07-21 13:04:48.434,176.0,29.0,282.505
2025-07-21 13:04:53.478,176.0,29.0,287.549
2025-07-21 13:04:58.522,176.0,29.0,292.593
2025-07-21 13:05:03.566,176.0,29.0,297.637
2025-07-21 13:05:08.609,176.0,0.0,302.68
2025-07-21 13:05:13.652,176.0,51.0,307.723
2025-07-21 13:05:18.696,176.0,48.0,312.767
2025-07-21 13:05:23.739,176.0,16.0,317.81
2025-07-21 13:05:28.783,176.0,29.0,322.854
2025-07-21 13:05:33.829,176.0,29.0,327.9
2025-07-21 13:05:38.872,176.0,29.0,332.943
2025-07-21 13:05:43.917,176.0,30.0,337.988
2025-07-21 13:05:48.961,176.0,39.0,343.032
2025-07-21 13:05:54.005,176.0,48.0,348.076
2025-07-21 13:05:59.050,176.0,48.0,353.121
2025-07-21 13:06:04.094,176.0,49.0,358.165
2025-07-21 13:06:09.138,176.0,0.0,363.209
2025-07-21 13:06:14.182,176.0,29.0,368.253
2025-07-21 13:06:19.227,176.0,29.0,373.298
2025-07-21 13:06:24.270,176.0,30.0,378.341
2025-07-21 13:06:29.316,176.0,30.0,383.387
2025-07-21 13:06:34.359,176.0,16.0,388.43
2025-07-21 13:06:39.403,176.0,48.0,393.474
2025-07-21 13:06:44.446,176.0,48.0,398.517
2025-07-21 13:06:49.489,176.0,11.0,403.56
2025-07-21 13:06:54.533,176.0,29.0,408.604
2025-07-21 13:06:59.578,176.0,29.0,413.649
2025-07-21 13:07:04.621,176.0,29.0,418.692
2025-07-21 13:07:09.666,176.0,30.0,423.737
2025-07-21 13:07:14.710,176.0,39.0,428.781
2025-07-21 13:07:19.756,176.0,47.0,433.827
2025-07-21 13:07:24.799,176.0,49.0,438.87
2025-07-21 13:07:29.843,176.0,50.0,443.914
